blink	time	pupil diam	eyeX	eyeY
1	140	3.67	0.43873	0.43220
1	171	3.35	0.42500	0.42889
1	187	3.35	0.35764	0.40696
1	203	3.5300000000000002	0.22634	0.38571
1	218	3.5300000000000002	0.19046	0.36224
1	234	3.5300000000000002	0.16793	0.32504
1	250	3.63	0.22899	0.31018
1	281	3.63	0.18543	0.32643
1	296	3.63	0.72729	0.25022
1	312	3.63	1.26039	0.17332
1	328	3.63	1.26039	0.17332
1	343	3.63	0.93490	0.21715
1	359	3.49	0.50559	0.27753
1	375	3.49	0.36747	0.20382
1	390	3.49	0.65315	0.17140
1	406	3.49	1.22254	0.14563
1	421	3.49	1.04571	0.20625
1	437	3.49	1.14980	0.26781
1	453	4.31	1.05830	0.31201
1	468	4.31	0.97350	0.33703
1	484	4.31	0.84168	0.37652
1	500	4.58	0.79911	0.38148
1	515	4.58	0.63325	0.37197
1	531	4.58	0.42408	0.35808
1	546	4.55	0.32005	0.34654
1	562	4.55	0.49303	0.35623
1	593	4.55	0.55922	0.34218
1	609	4.37	0.59092	0.32909
1	625	4.37	0.59092	0.32909
1	640	4.37	0.62261	0.31601
1	656	4.37	0.62261	0.31601
1	671	4.37	0.65096	0.32036
1	687	4.37	0.65637	0.32497
1	703	4.18	0.65902	0.32724
1	718	4.18	0.65857	0.32764
1	734	4.18	0.66573	0.33071
1	750	4.21	0.67079	0.33289
1	765	4.21	0.73656	0.34758
1	781	4.21	0.74413	0.35557
1	796	4.5	0.74987	0.36196
1	812	4.5	0.74497	0.36571
1	828	4.5	0.74968	0.36969
1	843	4.45	0.75345	0.37306
1	859	4.45	0.80496	0.41123
1	875	4.45	0.79143	0.41696
1	890	4.31	0.78691	0.41887
1	921	4.31	0.89507	0.52771
1	925	4.31	0.99192	0.62257
1	941	4.4	1.02420	0.65419
1	957	4.4	0.98049	0.62407
1	972	4.4	1.09049	0.54441
1	1004	4.35	1.12716	0.51786
1	1019	4.35	1.18696	0.46199
1	1035	4.35	1.20389	0.46283
1	1050	4.21	1.20953	0.46311
1	1066	4.21	1.20716	0.46208
1	1082	4.21	1.20444	0.46336
1	1097	4.33	1.20262	0.46421
1	1113	4.33	1.21415	0.39596
1	1129	4.33	1.12397	0.39649
1	1144	4.53	1.05399	0.39692
1	1160	4.53	1.02407	0.42784
1	1175	4.53	0.99964	0.45315
1	1191	4.58	0.97950	0.47427
1	1207	4.58	0.94263	0.46641
1	1222	4.58	0.88315	0.48382
1	1238	4.74	0.81844	0.57610
1	1254	4.74	0.70504	0.54938
1	1269	4.74	0.71054	0.53321
1	1300	4.590000000000001	0.80509	0.48426
1	1316	4.590000000000001	0.70778	0.45034
1	1332	4.590000000000001	0.71096	0.50897
1	1347	4.7	0.71288	0.54414
1	1363	4.7	0.73109	0.57237
1	1379	4.7	0.73360	0.58906
1	1394	4.52	0.73517	0.60154
1	1410	4.52	0.73418	0.61419
1	1425	4.52	0.73733	0.62496
1	1441	4.54	0.73966	0.63374
1	1457	4.54	0.72555	0.63896
1	1472	4.54	0.72555	0.63896
1	1488	4.54	0.72555	0.63896
1	1504	4.54	0.72555	0.63896
1	1519	4.54	0.70575	0.62017
1	1535	4.55	0.66950	0.62403
1	1550	4.55	0.55783	0.50462
1	1566	4.55	0.53065	0.46365
1	1582	4.760000000000001	0.46674	0.38293
1	1597	4.760000000000001	0.47061	0.38134
1	1629	4.760000000000001	0.57998	0.48213
1	1644	4.84	0.69155	0.58247
1	1660	4.84	0.57574	0.48253
1	1675	4.84	0.53044	0.44756
1	1691	4.83	0.44696	0.37932
1	1707	4.83	0.46542	0.38419
1	1722	4.83	0.43617	0.38163
1	1738	4.71	0.42155	0.38035
1	1754	4.71	0.43417	0.38080
1	1769	4.71	0.42953	0.37800
1	1785	4.66	0.42622	0.37600
1	1800	4.66	0.42622	0.37600
1	1816	4.66	0.56185	0.35301
1	1832	4.66	0.69490	0.32960
1	1847	4.66	0.84374	0.33689
